Kod;Nazwa;Nazwa;Nazwa;CenaEw;CenaDet;Stawka;Stan
115;PRZECENA WARZYWA KG 8;Warzywa i owoce przecena;kg;0.0000;0;8;0
125;PRZECENA WARZYWA SZT 18;Warzywa i owoce przecena;szt;0.0000;0;8;0
131;PRZECENA SPOŻYWKA 4;Promocje;szt;0.0000;0;8;0
132;PRZECENA SPOŻYWKA 5;Promocje;szt;0.0000;0;8;0
133;PRZECENA SPOŻYWKA 6;Promocje;szt;0.0000;0;8;0
134;PRZECENA SPOŻYWKA ...7;Promocje;szt;0.0000;0;23;0
135;PRZECENA SPOŻYWKA 8;Promocje;szt;0.0000;0;23;0
136;PRZECENA SPOŻYWKA ...9;Promocje;szt;0.0000;0;23;0
921;PRZECENA SPOŻYWKA KG 1;Promocje;kg;10.0000;14,99001;23;0
1280;PRZECENA SPOŻYWKA KG 2;Promocje;kg;15.3900;3,989952;8;0
1322;PRZECENA SPOŻYWKA 10;Promocje;szt;0.0000;4,989987;23;0
1471;PRZECENA SPOŻYWKA 11;Promocje;szt;16.2500;19,98996;23;0
1545;PRZECENA SPOŻYWKA 14;Promocje;szt;0.0000;0,990036;8;0
1546;PRZECENA SPOŻYWKA 15;Promocje;szt;0.0000;1,990008;8;0
1704;PRZECENA SPOŻYWKA KG;Promocje;kg;8.0000;13,99002;23;0
4528;KSERO A4 KOLOR;Usługi;szt;0.0000;2,499975;23;0
4529;KSERO CZARNO-BIAŁE;Usługi;szt;0.0000;0,299997;23;0
4530;KSERO CZARNO-BIAŁE DWUSTRONNE;Usługi;szt;0.0000;0,499995;23;0
4531;KSERO A3 KOLOR;Usługi;szt;0.0000;4,99995;23;0
4532;KSERO A3 KOLOR DWUSTRONNE;Usługi;szt;0.0000;8,000043;23;0
1082;SKRZYNKA PEPSI 0,2;Napoje;szt;3.4900;4,029597;-0,01;0
11176;USŁUGA KURIERSKA;BON;szt;1.0000;0;23;0
531;BUTELKA KRZYŚ;Napoje;szt;0.7100;0,9999;-0,01;0
247;USŁUGA MARKETINGOWA;Usługi;szt;100.0000;123;23;0
12910;OPŁATA ZA UDOSTEPNIENIE MIEJSCA POD LODÓWKĘ SO;BON;szt;0.0000;0,99999;23;0
1107;BUTELKA WINO 0,75L;Napoje;szt;0.7400;0,739926;-0,01;0
547;SKRZYNKA WINO;Napoje;szt;5.0400;5,039496;-0,01;0
