Kod;Nazwa;Grupa;Jednostka;Ce.zak.netto;Ce.sprz.brutto;VAT;Ilość
2687;CUKIERKI LOVE;CUKIERKI/WAFLE/CIASTKA;kg;20,65;33,99;23;0,77
2695;FANTAZJA KRÓWKOWA;CUKIERKI/WAFLE/CIASTKA;kg;20,26;30,99;5;3,715
35801;KINDER COUNTRY;chipsy;szt.;1,75;2,89;23;1
2696;GALARETKI SERDUSZKA;CUKIERKI/WAFLE/CIASTKA;kg;20,09;27,99;5;0,055
1644;BOCZEK PIECZONY BIEGUN;MIĘSO I WĘDLINY;kg;39,46;49,99;5;0,427
1643;KIEŁBASA ZE ŚWINIOBICIA BIEGUN;MIĘSO I WĘDLINY;kg;28,78;36,99;5;0,007
1641;WĘDZONKA SZEFA BIEGUN;MIĘSO I WĘDLINY;kg;50,32;64,99;5;0,536
1640;KABANOSY CIELĘCE BIEGUN;MIĘSO I WĘDLINY;kg;61,45;78,99;5;0,834
1639;KIEŁBASA SOŁACKA;MIĘSO I WĘDLINY;kg;24,01;30,99;5;0,184
2686;PTASIE MLECZKO MIX SMAK;CUKIERKI/WAFLE/CIASTKA;kg;23,55;33,99;5;2,233
2718;VOBRO GRYZZZLI MILK;CUKIERKI/WAFLE/CIASTKA;kg;27,88;39,99;5;-0,015
2707;MUFINKA ROGOWO;CUKIERKI/WAFLE/CIASTKA;kg;32,6;42,99;5;0,415
2709;KARTA PLUS 200;DOŁADOWANIA;szt.;156,26;200;23;1
1651;PASZTET FIRMOWY CZERNIEJEWO;MIĘSO I WĘDLINY;kg;21,5;27,99;5;0,313
1638;MIELONKA TYROLSKA;MIĘSO I WĘDLINY;kg;19,8;26,99;5;0,238
1648;KIEŁBASA DOMOWA SUSZONA;MIĘSO I WĘDLINY;kg;25,2;33,99;5;1,124
1649;BOCZEK FURMANA;MIĘSO I WĘDLINY;kg;23,4;30,99;5;0,244
1650;BOCZEK ZAPIEKANY CZERNIEJEWO;MIĘSO I WĘDLINY;kg;26,9;35,99;5;1,172
1627;POLĘDWICZKA SUROWA WĘDZONA;MIĘSO I WĘDLINY;kg;33,9;43,99;5;0,597
1612;SZYNKA PIECZONA;MIĘSO I WĘDLINY;kg;29;37,99;5;0,004
1621;SMALEC CZERNIEJEWO KUBEK;MIĘSO I WĘDLINY;kg;25,6;36,99;5;2,408
35607;WÓDKA DĘBOWA KARMNIK;WÓDKA (ALKOHOL POWYŻEJ 18%);szt.;150;199,99;23;1
35608;GOLD CHERRY DĘBOWA 0,7L;WÓDKA (ALKOHOL POWYŻEJ 18%);szt.;120;159,99;23;1
1616;NYCÓWKA;MIĘSO I WĘDLINY;kg;27,99;35,99;5;0,256
1620;KIEŁBASA PYSZNA MORAWSCY;MIĘSO I WĘDLINY;kg;20,4;26,99;5;-0,633
1637;SER SERENADA KRÓLEWSKI;MIĘSO I WĘDLINY;kg;21,99;28,99;5;0,003
1635;CEBULA CZERWONA;WARZYWA I OWOCE;kg;5,14;6,99;5;6,313
2678;SERNIK;CUKIERKI/WAFLE/CIASTKA;kg;37,42;47,99;5;0,03
3000;ZESTAW;ogólna;szt.;25;29,99;5;-5
2999;ZESTAW;ogólna;szt.;48;49,99;5;-1
1630;CHLEB BALTONOSKI ZIELONY RYNEK;PIECZYWO/CUKIERNICZE;szt.;4,67;6,45;5;-6,5
6960;SER WŁOSZCZOWSKI;MIĘSO I WĘDLINY;kg;22,4;29,5;5;0,256
1628;SZYNKA BIAŁA ROGOWO;MIĘSO I WĘDLINY;kg;31,95;40,99;5;0,125
2673;MINI PĄCZKI;CUKIERKI/WAFLE/CIASTKA;kg;19,52;26,99;5;-0,212
2674;CUKIERKI MILKY SPLASH;CUKIERKI/WAFLE/CIASTKA;kg;16,99;28,99;23;-2,955
1632;SZYNKA WĘDZONA PIECZONA CZERNIEJEWO;MIĘSO I WĘDLINY;kg;31,7;41,99;5;2,646
2675;CUKIERKI MICHAŁKI BIAŁE;CUKIERKI/WAFLE/CIASTKA;kg;21,99;36,99;23;0,865
2797;WAFLE MISIE;CUKIERKI/WAFLE/CIASTKA;kg;24,99;36,99;5;1,145
2799;ŻELKI OCZY;CUKIERKI/WAFLE/CIASTKA;szt.;1,59;2,5;5;55
2804;ŻELKI MYSZY;CUKIERKI/WAFLE/CIASTKA;szt.;0,5;0,99;5;60
1672;KAPUSTA MŁODA;WARZYWA I OWOCE;szt.;4,29;5,99;5;3
