,code,product_name
0,115,przecena warzywa kg 
1,125,przecena warzywa szt 
2,131,przecena spożywka 
3,132,przecena spożywka 
4,133,przecena spożywka 
5,134,przecena spożywka 
6,135,przecena spożywka 
7,136,przecena spożywka 
8,921,przecena spożywka kg 
9,1280,przecena spożywka kg 
10,1322,przecena spożywka 
11,1471,przecena spożywka 
12,1545,przecena spożywka 
13,1546,przecena spożywka 
14,1704,przecena spożywka kg
15,4528,ksero a kolor
16,4529,ksero czarno białe
17,4530,ksero czarno białe dwustronne
18,4531,ksero a kolor
19,4532,ksero a kolor dwustronne
20,1082,skrzynka pepsi 
21,11176,usługa kurierska
22,531,butelka krzyś
23,247,usługa marketingowa
24,12910,opłata za udostepnienie miejsca pod lodówkę so
25,1107,butelka wino l
26,547,skrzynka wino
27,16047,butelka zwrotna
28,12123,przecena vat 
29,1103,butelka pepsi l
30,0,doładowania telefoniczne
31,1106,butelka piwo l żywiec
32,17280,usługa promocyjna
33,17495,wypożyczenie sprzętu skakanka
34,17496,wypożyczenie sprzętu frisbee
35,17497,wypożyczenie sprzętu hula hop
36,17498,wypożyczenie sprzętu kólko do ćwiczeń
37,17500,wypożyczenie sprzętu siatka do tenisa stołowego
38,17501,wypożyczenie sprzętu zestaw do tenisa stołowego
39,17502,wypożyczenie sprzętu zestaw do badmintona
40,17503,wypożyczenie sprzętu dart elektrzyczna tarcza do gry w rzutki
41,17504,wypożyczenie sprzętu kijki do nordic walking
42,17507,kaucja hula hop
43,17510,kaucja siatka do tenisa stołowego
44,17511,kaucja zestaw do tenisa stołowego
45,17513,kaucja dart elektroniczna tarcza do gry w rzutki
46,17514,kaucja kijki do nordic walking
47,12119,przecena zł
48,9898987,test
49,17783,spławik lorpio red star 
50,17784,spławik lorpio gold star 
51,17785,spławik lorpio gold star 
52,17786,toaleta płatna oo zł
53,17799,wypożyczenie sprzętu piłka nożna
54,17499,wypożyczenie sprzętu piłka do koszykówki
55,17800,wypożyczenie sprzętu okulary do pływania
56,17801,wypożyczenie sprzętu rakietka do tenisa stołowego
57,17508,kaucja kółko do ćwiczeń
58,17506,kaucja frisbee
59,17505,kaucja skakanka
60,17796,kaucja piłka nożna
61,17509,kaucja piłka do koszykówki
62,17512,kaucja zestaw do badmintona
63,17798,kaucja okulary do pływania
64,17797,kaucja rakietka do tenisa stołowego
65,17848,ogród jabłoń
66,17846,ogród paeonia piwonia
67,17850,ogród śliwa
68,17852,ogród nektarynka
69,17854,ogród gruszka
70,17856,ogród wiśnia
71,17860,ogród czereśnia
72,17861,ogród rododendron
73,17864,ogród agrest
74,17866,ogród porzeczka
75,10874,zapalniczka szara szt
76,10875,zapalniczka make your day
77,17609,pudelko skladane
78,17960,koperta ozdobna mini
79,17908,zapalniczka prezent
80,17913,maseczka na twarz
81,18089,łubin kwiat
82,18128,alfa płyn nabłyszczający do zmywarek l automatic
83,18127,magnetis stopki 
84,18136,magnetis stopki z koronką
85,18129,alf płyn do zmywarek automatic al l
86,18148,ariel kapsułki do prania color szt
87,18149,ariel kapsułki do prania czerń szt
88,18150,ariel kapsułki do prania biel szt
89,18169,bilet normalny zł
90,17157,wino mix ml
91,12438,niezbędnik urodzinowy pudełko
92,461,wieszak samoprzylepny
93,9486,bnn obrus pcv świąteczny x 
94,11125,świecznik wysoki
95,11128,wazon butelka
96,11139,świecznik wysoki
97,13194,bombka op
98,13108,ramka przecena
99,3505,ags słoje l 
100,4142,taśma opakowaniowa x clear akryl 
101,4330,petarda ls 
102,4366,balon serce szt
103,51572,sed kadzidełka podstawek narta 
104,6061,dekoracja świąteczna wianek duży
105,10392,kosz wiklinowy dk d
106,10912,figurka sowa średnia
107,10922,magnesy na lodówkę szt
108,10932,ala pol brelok pompon
109,10934,ala pol spinka perła
110,10935,ala pol zawieszka do kluczy
111,10937,ala pol opaska plastikowa mix kolorów
112,10938,ala pol pierścionek
113,10939,ala pol gumka groszki
114,10940,ala pol opaska czarna
115,10941,ala pol gumka do włosów kokardka
116,10942,ala pol gumka z kulką
117,11012,bazie mini szt
118,11015,gałęzie kolorowe szt
119,11877,świecznik ht
120,14071,ravi wyspa okazji zl
121,14526,o_transporter lemoniada zł
122,14527,o_pojemnik gniazdowy
123,14890,torebka świąteczna mała niebieska szt
124,14892,worki świąteczne szt
125,14893,zemar opaska szt
126,14900,wielkanocne kurczaki małe szt
127,14903,wielk gniazdo ptasie z jajkami szt
128,15109,organza cm m
129,15110,figi carolina pełne
130,15111,limonka suszona
131,15117,rękawiczki tekstylne szt
132,15120,świeca serce szt
133,15125,złoty krążek śr szt
134,15128,podkoszulki damskie szt
135,15129,taśma ozdobna kokon szt
136,15131,świeca walec 
137,15140,figi damskie x o
138,15142,świeczki kulki mix szt
139,15144,gumka do włosów szt
140,15156,koszyk 
141,15161,pamiątka okolicznościowa szt
142,15990,koszt kajet półka biurowa plastikowa
143,16000,koszt eltrox sejf ax samson
144,16363,ciężarek ołowiany mały
145,16723,koszt girlanda zielona cm
146,16725,koszt girlanda choinkowa świąteczna cm delux
147,1312,ags fi a zakrętka
148,11410,taca plast prost
149,15033,zakrętka fi op szt
150,17436,alsa surówka meksykańska z białej kapusty g
151,2848,gwiazda betlejemska szt
152,12753,lizak chupa smoth creamy g
153,17879,medicaline lizak mix g
154,14538,lizak kulisty truskawka g
155,16607,kwieciński piekarnia gorąca czekolada duża premium ml
156,16610,kwieciński piekarnia gorąca czekolada mała ml
157,18189,art spożywcze 
158,18190,art spożywcze 
159,18188,art spożywcze 
160,10666,vobro cukierki mix luz
161,12754,żelki barwiące węże g
162,420,kokosanka papieskie kremówki szt
163,1646,kokosanka pianka truskawkowa kg
164,2658,mariolli pączek szt
165,2740,mariolli babka ciemna kg
166,1678,mizar babka korzenna g
167,1703,jagódka babka w polewie kg
168,1,drożdże piekarskie prasowane stantard g
169,14642,mik mar opłatek na tort szt
170,16336,jagódka zdjęcie opłatkowe na tort szt
171,14099,napoj fanta
172,15739,lemoniada ml
173,17788,rhd syrop z liści mięty natury ml
174,17790,rhd syrop z kwiatu czarnego bzu natury ml
175,17889,rhd syrop z aronii naturalny ml
176,17890,rhd syrop truskawkowy natualny ml zakup
177,17891,rhd syrop z czarnej porzeczki naturalny
178,17907,rhd syrop wiśniowy naturalny ml
179,145,przecena nabiał szt 
180,148,przecena nabiał szt 
181,1620,przecena nabiał szt 
182,15619,kawa latte
183,15620,kawa flat white
184,15621,kawa americano
185,15622,kawa americano
186,15623,kawa cappuccino mała
187,15624,kawa espresso
188,15625,herbata czarna
189,15627,herbata
190,15628,herbata owocowa
191,15629,kawa mrożona soda
192,15630,kawa mrożona welcome wietnam
193,15631,kawa mrożona marakuja
194,15632,kawa mrożona kokos
195,15633,kawa mrożona z lodami
196,15634,kawa mrożona espresso tonik
197,15642,kawa mrożona frappe
198,15643,kawa mrożona iced latte
199,15644,kawa mrożona strawberry latte
200,15646,kawa mrożona sweet and salty
201,15648,kawa mrożona affogato
202,16614,kwieciński piekarnia herbata zimowa ml
203,4583,sendal pierogi z kapustą i grzybami kg
204,6083,mniaam mniaam kapusta z grochem na luz kg
205,6504,mniaam mniaam surówka kg
206,1285614,bagietka kanapka g
207,16154,bagietka bajgiel z twarożkiem g
208,16157,bagietka kanapka z tuńczykiem i jajkiem g
209,16227,bagietka lunch box chińskie z kurczakiem i ryżem g
210,16261,bagietka lunch box humus ze świeżymi warzywami g
211,16303,bagietka lunch bx dorsz z ryżem i warzywami g
212,4365,balon mix kolorów szt
213,17489,bagietka kanapka z gril kurczak g
214,14190,o_transporter rzepinianka gniazd
215,5253,deska szkło hart
216,18251,solmed gyros szt
217,18254,solmed carpaaccio szt
218,18256,solmed galaretka drobiowa szt
219,18253,solmed jajka w sosie szt
220,18255,solmed kanapka szt
221,18252,solmed sałatka fit szt
222,18283,bobrówko syrop ziołowy ml
223,18295,karnet ulgowy pięcioprzejazdowy szt
224,18308,lody włoskie małe szt
225,18307,lody włoskie duże szt
226,18325,kaczmarczyk maść propolisowa ml
227,4936509,coca cola ml vanilla pusz
228,18380,usługa informacyjno handlowa
229,16159,bagietka sałatka cezar g
230,16160,bagietka sałatka z kurczakiem g
231,10675,mniaam mniaam bułka biała szt
232,10676,mniaam mniaam bułka ciemna omega szt
233,5384,sendal prawdziwy żurek z naszej piekarni szt
234,657,społem bułka wyborowa g
235,18351,x treme sour potty wc lizak g
236,13907,luz cuk pszczolka blue ice kg
237,13908,luz cuk hildebrand zajaczki w czekoladzie kg
238,14741,mieszko cuk klejnoty pis
239,16640,paczka świąteczna
240,16641,paczka świąteczna premium
241,2513,wawel cukierki luz strefa czerwona
242,3932,ptasie mleczko luz
243,13917,luz cuk jedność ciut luz
244,13918,luz cuk roksana gumiaki luz
245,13919,luz cuk roksana mieszanka cytrusowa luz
246,13920,luz cuk roksana kulki balonowe luz
247,13922,luz cuk roksana emo tki luz
248,13923,luz cuk milano mieszanka fantastyczna luz
249,13924,luz cuk śnieżka pasty maczek luz
250,13925,luzuk mieszanka mix luz
251,13926,luz cuk magnat galaretka w czekoladzie luz
252,13928,luz cuk vobro wisnie jednoskret luz
253,13929,luz cuk krówka polska luz
254,13931,luz cuk żelki drucela candy luz
255,13932,luz cuk solidar złoty adwocat luz
256,13933,luz cuk gibar toffix luz
257,13934,luz cuk mieszko tutti frutti kg
258,13936,luz cuk słowianka smigle luz
259,13939,luz cuk słowianka iglo lodowe kg
260,13941,luz cuk vobro marcepan nadziewany luz
261,13944,luz cuk krówka milk luz
262,13948,luz cuk vobro wisnie likier luz
263,13950,luz cuk polly krówka luz
264,13952,luz cuk polly krówka luz
265,13955,luz cuk hibbi jajko luz
266,13962,luz cuk dobosz toffi czekoladowe luz
267,16109,solidarność cukierki złoty orzech luz
268,16110,storck cukierki kopiko luz
269,17469,pszczółka cukierki mix luz
270,6310,gassowscy jajeczka wielkanocne kg
271,15671,cukierki wiśnie w likierze vobro
272,14269,wn jajka czekoladowe z nadzieniem kakaowym luz
273,14740,unitop kukułki luz
274,14752,spiffy cuk pomorz luz
275,12780,an ba toy magic tracks zn
276,13658,guma eyes with centerfil g
277,5970689,mondelez halls lime fresh flavour g
278,17814,mix cukierki argo
279,12831,cuk chrupiace serduszka luz
280,17630,cukierki minky binky roshen luz
281,17631,cukierki jumi roshen luz
282,17634,cukierki dobosz mleczko luz
283,17637,cukierki ancymonki luz
284,14369,jajka marcepanowe białe luz
285,2168,śliwka w czekol luz
286,4799,ufo opłatek z proszkiem musującym szt tub
287,13910,cuk raffaello szt
